Title,Name,OrderIndex,DataType,Address,Length
IO_15,U_REQ,1,Bit,D8719.1,1
IO_15,Ready,2,Bit,D8719.2,1
IO_15,CARRIER,3,Bit,D8719.3,1
IO_15,P.Error,4,Bit,D8719.4,1
IO_15,Spare,5,Bit,D8719.5,1
IO_15,P.Online,6,Bit,D8719.6,1
IO_15,P.E-STOP,7,Bit,D8719.7,1
IO_15,Transferring_FromSTK,8,Bit,D8719.8,1
IO_15,TR_REQ_FromSTK,9,Bit,D8719.9,1
IO_15,BUSY_FromSTK,10,Bit,D8719.A,1
IO_15,COMPLETE_FromSTK,11,Bit,D8719.B,1
IO_15,CRANE_1_FromSTK,12,Bit,D8719.C,1
IO_15,CRANE_2_FromSTK,13,Bit,D8719.D,1
IO_15,A.Error_FromSTK,14,Bit,D8719.E,1
IO_15,ForkNumber_FromSTK,15,Bit,D8719.F,1
IO_16,L_REQ,0,Bit,D8879.0,1
IO_16,U_REQ,1,Bit,D8879.1,1
IO_16,Ready,2,Bit,D8879.2,1
IO_16,CARRIER,3,Bit,D8879.3,1
IO_16,P.Error,4,Bit,D8879.4,1
IO_16,Spare,5,Bit,D8879.5,1
IO_16,P.Online,6,Bit,D8879.6,1
IO_16,P.E-STOP,7,Bit,D8879.7,1
IO_16,Transferring_FromSTK,8,Bit,D8879.8,1
IO_16,TR_REQ_FromSTK,9,Bit,D8879.9,1
IO_16,BUSY_FromSTK,10,Bit,D8879.A,1
IO_16,COMPLETE_FromSTK,11,Bit,D8879.B,1
IO_16,CRANE_1_FromSTK,12,Bit,D8879.C,1
IO_16,CRANE_2_FromSTK,13,Bit,D8879.D,1
IO_16,A.Error_FromSTK,14,Bit,D8879.E,1
IO_16,ForkNumber_FromSTK,15,Bit,D8879.F,1
IO_17,L_REQ,0,Bit,D9039.0,1
IO_17,U_REQ,1,Bit,D9039.1,1
IO_17,Ready,2,Bit,D9039.2,1
IO_17,CARRIER,3,Bit,D9039.3,1
IO_17,P.Error,4,Bit,D9039.4,1
IO_17,Spare,5,Bit,D9039.5,1
IO_17,P.Online,6,Bit,D9039.6,1
IO_17,P.E-STOP,7,Bit,D9039.7,1
IO_17,Transferring_FromSTK,8,Bit,D9039.8,1
IO_17,TR_REQ_FromSTK,9,Bit,D9039.9,1
IO_17,BUSY_FromSTK,10,Bit,D9039.A,1
IO_17,COMPLETE_FromSTK,11,Bit,D9039.B,1
IO_17,CRANE_1_FromSTK,12,Bit,D9039.C,1
IO_17,CRANE_2_FromSTK,13,Bit,D9039.D,1
IO_17,A.Error_FromSTK,14,Bit,D9039.E,1
IO_17,ForkNumber_FromSTK,15,Bit,D9039.F,1
IO_18,L_REQ,0,Bit,D9199.0,1
IO_18,U_REQ,1,Bit,D9199.1,1
IO_18,Ready,2,Bit,D9199.2,1
IO_18,CARRIER,3,Bit,D9199.3,1
IO_18,P.Error,4,Bit,D9199.4,1
IO_18,Spare,5,Bit,D9199.5,1
IO_18,P.Online,6,Bit,D9199.6,1
IO_18,P.E-STOP,7,Bit,D9199.7,1
IO_18,Transferring_FromSTK,8,Bit,D9199.8,1
IO_18,TR_REQ_FromSTK,9,Bit,D9199.9,1
IO_18,BUSY_FromSTK,10,Bit,D9199.A,1
IO_18,COMPLETE_FromSTK,11,Bit,D9199.B,1
IO_18,CRANE_1_FromSTK,12,Bit,D9199.C,1
IO_18,CRANE_2_FromSTK,13,Bit,D9199.D,1
IO_18,A.Error_FromSTK,14,Bit,D9199.E,1
IO_18,ForkNumber_FromSTK,15,Bit,D9199.F,1
IO_19,L_REQ,0,Bit,D9359.0,1
IO_19,U_REQ,1,Bit,D9359.1,1
IO_19,Ready,2,Bit,D9359.2,1
IO_19,CARRIER,3,Bit,D9359.3,1
IO_19,P.Error,4,Bit,D9359.4,1
IO_19,Spare,5,Bit,D9359.5,1
IO_19,P.Online,6,Bit,D9359.6,1
IO_19,P.E-STOP,7,Bit,D9359.7,1
IO_19,Transferring_FromSTK,8,Bit,D9359.8,1
IO_19,TR_REQ_FromSTK,9,Bit,D9359.9,1
IO_19,BUSY_FromSTK,10,Bit,D9359.A,1
IO_19,COMPLETE_FromSTK,11,Bit,D9359.B,1
IO_19,CRANE_1_FromSTK,12,Bit,D9359.C,1
IO_19,CRANE_2_FromSTK,13,Bit,D9359.D,1
IO_19,A.Error_FromSTK,14,Bit,D9359.E,1
IO_19,ForkNumber_FromSTK,15,Bit,D9359.F,1
IO_20,L_REQ,0,Bit,D9519.0,1
IO_20,U_REQ,1,Bit,D9519.1,1
IO_20,Ready,2,Bit,D9519.2,1
IO_20,CARRIER,3,Bit,D9519.3,1
IO_20,P.Error,4,Bit,D9519.4,1
IO_20,Spare,5,Bit,D9519.5,1
IO_20,P.Online,6,Bit,D9519.6,1
IO_20,P.E-STOP,7,Bit,D9519.7,1
IO_20,Transferring_FromSTK,8,Bit,D9519.8,1
IO_20,TR_REQ_FromSTK,9,Bit,D9519.9,1
IO_20,BUSY_FromSTK,10,Bit,D9519.A,1
IO_20,COMPLETE_FromSTK,11,Bit,D9519.B,1
IO_20,CRANE_1_FromSTK,12,Bit,D9519.C,1
IO_20,CRANE_2_FromSTK,13,Bit,D9519.D,1
IO_20,A.Error_FromSTK,14,Bit,D9519.E,1
IO_20,ForkNumber_FromSTK,15,Bit,D9519.F,1
IO_21,L_REQ,0,Bit,D9679.0,1
IO_21,U_REQ,1,Bit,D9679.1,1
IO_21,Ready,2,Bit,D9679.2,1
IO_21,CARRIER,3,Bit,D9679.3,1
IO_21,P.Error,4,Bit,D9679.4,1
IO_21,Spare,5,Bit,D9679.5,1
IO_21,P.Online,6,Bit,D9679.6,1
IO_21,P.E-STOP,7,Bit,D9679.7,1
IO_21,Transferring_FromSTK,8,Bit,D9679.8,1
